"# PARAMS: contingency=10,confidence=100,changeManagement=20,projectManagement=20,integrations=0,migrations=0"
Requirement,Cloud,Feature,Solution Type,Complexity,MoSCoW,Release Phase
Set up territory,Service,Field Service,Configuration,Medium,,
Set up workforce / skill & Work types,Service,Field Service,Configuration,Medium,,
Set up dispatching policy,Service,Field Service,Configuration,High,,
Set up inventory / spare part management,Service,Field Service,Configuration,High,,
Set up dispatching policy x2,Service,Field Service,Configuration,Low,,
Set up users & service resource,Service,Field Service,Configuration,Low,,
Enable permission ,Service,Field Service,Configuration,Low,,
Set up an operting hours,Service,Field Service,Configuration,Low,,
Set up billing / commission calculation,Service,Case Management,Configuration,High,,
Enhace work order,Service,Case Management,Configuration,Medium,,
Enhace service appointment,Service,Case Management,Configuration,Medium,,
Enhace service order,Service,Case Management,Configuration,Medium,,
Mobile layout,Service,Self Service,Configuration,Medium,,
Report work order / service appointment,Service,Reports & Dashboards,Configuration,Low,,
